,week,percentile_10,percentile_25,percentile_50,percentile_75,percentile_90
0,-11.0,384.0,436.5,486.5,535.5,581.5
1,-10.0,388.5,439.5,488.0,536.5,583.0
2,-9.0,387.5,438.625,487.5,536.0,583.0
3,-8.0,387.0,438.5,488.0,536.5,582.0
4,-7.0,385.5,438.0,487.0,535.5,581.5
5,-6.0,384.5,438.0,487.0,535.5,582.0
6,-5.0,384.5,437.5,487.5,536.0,581.5
7,-4.0,388.0,438.5,486.5,535.0,581.0
8,-3.0,386.0,437.0,486.0,535.0,581.5
9,-2.0,385.0,438.0,486.5,534.5,583.5
10,-1.0,384.5,437.0,486.0,533.0,579.5
11,0.0,385.0,436.5,485.5,533.0,578.5
12,1.0,126.5,212.375,325.0,434.0,517.5
13,2.0,244.5,339.5,434.5,512.5,574.0
14,3.0,282.0,370.5,457.0,528.5,589.5
15,4.0,285.5,376.0,458.5,531.5,589.0
16,5.0,289.5,376.0,457.0,527.0,583.0
17,6.0,292.0,379.0,459.0,527.0,584.5
18,7.0,300.5,388.0,463.0,530.0,584.5
19,8.0,310.5,394.5,469.0,533.0,589.5
20,9.0,315.0,398.5,471.5,533.5,586.5
21,10.0,325.0,404.0,472.5,534.0,586.5
22,11.0,334.0,412.5,478.0,536.5,587.0
23,12.0,338.5,413.5,478.5,537.0,588.5
24,13.0,345.0,414.5,477.5,534.0,584.5
25,14.0,344.5,414.625,478.0,532.5,584.5
26,15.0,347.0,415.5,477.5,534.0,585.5
27,16.0,350.5,418.0,479.0,534.5,584.0
28,17.0,350.1,416.0,478.5,534.5,584.0
29,18.0,346.5,417.0,478.5,533.0,582.5
30,19.0,347.5,416.0,478.5,534.0,584.0
31,20.0,347.5,416.5,476.0,532.0,582.0
